episode,timestep,reward
224,2000,-247.1297
485,4000,-251.6607
716,6000,-242.0063
940,8000,-237.8318
1152,10000,-235.1072
1328,12000,-234.3264
1515,14000,-233.9134
1719,16000,-237.9987
1894,18000,-227.7384
2067,20000,-232.1626
2233,22000,-226.1926
2415,24000,-228.6265
2620,26000,-230.0966
2776,28000,-224.6301
2929,30000,-227.2255
3109,32000,-215.4081
3290,34000,-227.5092
3461,36000,-225.6629
3623,38000,-224.0604
3790,40000,-222.7541
3941,42000,-214.8087
4099,44000,-216.7846
4269,46000,-221.0188
4407,48000,-213.447
4538,50000,-207.2215
4696,52000,-212.4573
4850,54000,-219.3852
4983,56000,-207.4028
5121,58000,-208.1081
5256,60000,-208.6712
5399,62000,-219.1166
5528,64000,-208.4505
5672,66000,-213.5509
5806,68000,-218.0488
5926,70000,-203.1249
6052,72000,-210.9399
6193,74000,-212.2772
6347,76000,-216.5323
6479,78000,-200.6975
6605,80000,-216.3751
6740,82000,-208.0943
6885,84000,-216.1375
7004,86000,-212.0448
7140,88000,-210.8702
7272,90000,-209.092
7405,92000,-205.5968
7532,94000,-208.9046
7667,96000,-211.7016
7801,98000,-207.986
7920,100000,-208.6511
8040,102000,-214.0947
8166,104000,-205.6848
8285,106000,-207.2243
8408,108000,-207.8284
8517,110000,-211.4053
8658,112000,-215.2804
8782,114000,-207.2394
8904,116000,-203.8371
9030,118000,-219.8992
9158,120000,-204.2804
9276,122000,-202.7272
9401,124000,-210.2402
9526,126000,-211.8014
9657,128000,-201.6356
9773,130000,-207.6022
9883,132000,-209.9941
9983,134000,-201.0067
10117,136000,-214.6482
10237,138000,-207.0769
10375,140000,-213.2375
10502,142000,-207.5722
10626,144000,-200.1959
10754,146000,-209.1568
10874,148000,-207.7902
11002,150000,-208.1168
11132,152000,-208.2063
11254,154000,-211.3693
11364,156000,-210.0402
11480,158000,-208.9998
11604,160000,-204.6925
11722,162000,-212.4599
11825,164000,-198.8029
11941,166000,-207.2714
12063,168000,-207.4674
12182,170000,-205.624
12301,172000,-209.3533
12426,174000,-215.1403
12561,176000,-209.6941
12687,178000,-214.3648
12826,180000,-221.0298
12942,182000,-210.838
13059,184000,-207.8713
13170,186000,-210.2781
13277,188000,-205.523
13408,190000,-209.0978
13526,192000,-215.0547
13642,194000,-205.7593
13755,196000,-210.135
13874,198000,-202.8713
13972,200000,-204.3784
14104,202000,-212.132
14215,204000,-212.6409
14336,206000,-215.808
14441,208000,-208.4654
14566,210000,-212.1921
14679,212000,-204.3213
14800,214000,-203.6163
14917,216000,-202.9678
15034,218000,-207.9726
15180,220000,-212.5244
15303,222000,-205.9169
15424,224000,-209.9352
15531,226000,-209.4977
15659,228000,-207.5146
15788,230000,-208.2672
15916,232000,-201.355
16050,234000,-206.8747
16170,236000,-202.4855
16299,238000,-210.3161
16424,240000,-214.1411
16535,242000,-213.0567
16673,244000,-208.1532
16797,246000,-205.1726
16938,248000,-211.4854
17059,250000,-213.7705
17157,252000,-202.3688
17257,254000,-203.5636
17364,256000,-202.3965
17463,258000,-189.546
17587,260000,-200.1597
17692,262000,-198.9659
17810,264000,-204.6677
17911,266000,-210.2879
18013,268000,-201.1356
18120,270000,-207.3521
18246,272000,-207.348
18365,274000,-216.9308
18454,276000,-200.1365
18556,278000,-201.3995
18664,280000,-195.5105
18769,282000,-197.9735
18865,284000,-206.8181
18981,286000,-205.5658
19097,288000,-200.3858
19209,290000,-203.0758
19304,292000,-194.7494
19413,294000,-196.4114
19516,296000,-198.7638
19630,298000,-196.4247
19746,300000,-191.5713
19848,302000,-195.5657
19932,304000,-197.1413
20037,306000,-199.9951
20146,308000,-197.2096
20246,310000,-202.1854
20351,312000,-200.02
20461,314000,-202.6108
20557,316000,-195.1758
20666,318000,-198.5462
20772,320000,-200.9767
20867,322000,-199.0993
20969,324000,-189.092
21059,326000,-198.684
21163,328000,-203.1595
21267,330000,-193.3933
21386,332000,-199.7636
21477,334000,-199.8571
21616,336000,-205.5864
21702,338000,-191.3717
21812,340000,-199.7798
21894,342000,-194.5572
21995,344000,-195.7514
22103,346000,-200.2065
22187,348000,-199.8591
22306,350000,-201.1893
22410,352000,-199.2967
22502,354000,-201.7419
22604,356000,-202.3602
22716,358000,-201.1808
22815,360000,-197.2372
22917,362000,-194.0086
23009,364000,-199.4892
23096,366000,-199.932
23211,368000,-201.0545
23305,370000,-191.5807
23401,372000,-199.8097
23491,374000,-196.6671
23592,376000,-198.1471
23718,378000,-194.3211
23817,380000,-194.3944
23930,382000,-199.8478
24028,384000,-205.3501
24131,386000,-197.649
24255,388000,-198.8749
24351,390000,-197.9461
24457,392000,-203.8162
24560,394000,-209.4389
24636,396000,-194.2356
24742,398000,-202.7073
24837,400000,-195.7522
24942,402000,-201.045
25029,404000,-202.7128
25125,406000,-195.2487
25206,408000,-195.8978
25309,410000,-205.1158
25387,412000,-201.1016
25479,414000,-193.7871
25577,416000,-200.2965
25689,418000,-210.4261
25760,420000,-197.4883
25862,422000,-199.2018
25944,424000,-196.0042
26039,426000,-196.8837
26135,428000,-197.7448
26237,430000,-202.7614
26334,432000,-203.9679
26421,434000,-204.0175
26519,436000,-201.5961
26607,438000,-208.6949
26706,440000,-196.3989
26791,442000,-203.1788
26906,444000,-197.277
27024,446000,-202.3581
27134,448000,-205.4475
27225,450000,-195.4783
27312,452000,-201.749
27415,454000,-201.9749
27513,456000,-196.6233
27607,458000,-199.8127
27712,460000,-202.9194
27799,462000,-195.8176
27901,464000,-208.7667
27998,466000,-201.0298
28103,468000,-202.3966
28202,470000,-204.5378
28301,472000,-208.2512
28396,474000,-193.08
28491,476000,-205.5533
28583,478000,-198.944
28676,480000,-194.2027
28766,482000,-193.8002
28866,484000,-199.2748
28974,486000,-207.3948
29076,488000,-196.5628
29175,490000,-203.0803
29273,492000,-202.043
29376,494000,-202.8289
29473,496000,-208.1564
29564,498000,-203.2323
29673,500000,-198.8358
29764,502000,-199.3478
29847,504000,-198.2738
29952,506000,-194.8247
30042,508000,-201.0126
30124,510000,-198.3472
30197,512000,-185.607
30277,514000,-189.4467
30344,516000,-191.8544
30424,518000,-190.635
30492,520000,-195.1381
30584,522000,-196.9191
30657,524000,-191.1334
30722,526000,-193.5543
30821,528000,-191.713
30895,530000,-196.3525
30971,532000,-187.7178
31047,534000,-190.7792
31106,536000,-192.8819
31187,538000,-192.9887
31270,540000,-197.5463
31351,542000,-195.209
31429,544000,-188.2135
31519,546000,-204.7918
31581,548000,-188.0566
31660,550000,-203.2006
31743,552000,-191.3682
31819,554000,-196.1415
31896,556000,-190.1941
31979,558000,-197.36
32045,560000,-193.8988
32112,562000,-201.0474
32186,564000,-194.9892
32267,566000,-188.1408
32356,568000,-193.6956
32442,570000,-195.4393
32530,572000,-196.8617
32618,574000,-200.7732
32703,576000,-196.0822
32795,578000,-194.8716
32870,580000,-194.283
32949,582000,-193.948
33034,584000,-189.2239
33096,586000,-201.2293
33172,588000,-192.6877
33259,590000,-198.2012
33334,592000,-193.4751
33427,594000,-195.7531
33521,596000,-204.63
33601,598000,-200.1697
33674,600000,-193.0468
33755,602000,-194.4545
33828,604000,-195.2861
33910,606000,-196.2654
33983,608000,-194.4274
34065,610000,-195.9907
34139,612000,-198.4345
34213,614000,-186.9469
34285,616000,-196.2403
34362,618000,-194.4247
34453,620000,-196.5332
34537,622000,-189.7554
34605,624000,-193.8997
34705,626000,-194.5265
34787,628000,-193.5126
34862,630000,-196.0119
34939,632000,-194.9517
35040,634000,-199.5944
35130,636000,-197.0448
35221,638000,-192.7674
35302,640000,-185.8776
35369,642000,-185.7034
35451,644000,-192.9423
35534,646000,-197.3529
35614,648000,-192.8555
35676,650000,-202.4885
35756,652000,-200.3476
35834,654000,-194.5809
35919,656000,-193.0112
36020,658000,-203.6938
36103,660000,-198.9116
36172,662000,-188.5115
36251,664000,-195.3681
36322,666000,-188.3017
36412,668000,-197.1218
36510,670000,-200.041
36590,672000,-198.6723
36669,674000,-187.0967
36745,676000,-190.1916
36814,678000,-190.2907
36888,680000,-192.3733
36977,682000,-192.5137
37053,684000,-198.2267
37133,686000,-187.6297
37227,688000,-196.2824
37301,690000,-194.405
37383,692000,-186.8155
37473,694000,-193.9399
37536,696000,-181.5587
37610,698000,-193.4498
37685,700000,-194.9853
37765,702000,-198.7352
37843,704000,-192.8815
37925,706000,-198.8079
38003,708000,-196.3537
38072,710000,-201.5496
38141,712000,-201.5359
38215,714000,-199.3323
38302,716000,-196.178
38386,718000,-203.11
38461,720000,-194.8312
38546,722000,-196.2395
38613,724000,-191.4599
38695,726000,-206.6251
38751,728000,-186.2225
38825,730000,-187.0945
38890,732000,-185.4888
38972,734000,-195.7308
39043,736000,-189.4236
39123,738000,-190.6432
39200,740000,-185.8812
39272,742000,-187.325
39358,744000,-195.441
39442,746000,-201.365
39525,748000,-196.2515
39588,750000,-190.2161
39654,752000,-188.6595
39707,754000,-189.2804
39768,756000,-188.7213
39818,758000,-185.3408
39872,760000,-187.7619
39930,762000,-188.7929
39982,764000,-183.1959
40032,766000,-179.1858
40102,768000,-189.5913
40179,770000,-191.1948
40232,772000,-187.7051
40301,774000,-185.4274
40350,776000,-192.1065
40399,778000,-188.6397
40460,780000,-183.0734
40507,782000,-183.9011
40549,784000,-181.8784
40608,786000,-191.3958
40672,788000,-188.1781
40729,790000,-183.7358
40777,792000,-194.9316
40843,794000,-184.1524
40900,796000,-180.1902
40962,798000,-181.7692
41018,800000,-192.1559
41072,802000,-188.2892
41119,804000,-182.6741
41176,806000,-187.698
41245,808000,-188.9874
41297,810000,-187.469
41362,812000,-187.1922
41430,814000,-193.0533
41486,816000,-184.6716
41543,818000,-187.8883
41606,820000,-193.0065
41667,822000,-180.7538
41729,824000,-197.3499
41785,826000,-185.5227
41853,828000,-190.6369
41917,830000,-190.3119
41965,832000,-177.4383
42021,834000,-187.0305
42067,836000,-187.0009
42124,838000,-182.7981
42179,840000,-199.5906
42233,842000,-197.309
42292,844000,-190.8995
42334,846000,-184.0773
42391,848000,-189.4687
42434,850000,-183.5309
42491,852000,-188.9321
42530,854000,-186.2729
42578,856000,-181.4326
42627,858000,-190.3875
42686,860000,-186.137
42738,862000,-190.9554
42794,864000,-179.8368
42850,866000,-190.3445
42895,868000,-186.7838
42947,870000,-188.9297
43003,872000,-191.935
43051,874000,-187.5055
43127,876000,-196.0059
43193,878000,-195.0088
43259,880000,-190.2175
43314,882000,-184.6464
43360,884000,-186.6807
43419,886000,-192.2323
43476,888000,-186.2675
43541,890000,-197.5005
43595,892000,-189.4923
43666,894000,-182.3748
43723,896000,-194.1563
43779,898000,-180.7906
43849,900000,-188.5441
43914,902000,-189.4916
43967,904000,-191.0825
44018,906000,-187.4414
44074,908000,-186.1228
44131,910000,-189.3228
44185,912000,-187.1096
44248,914000,-189.9676
44293,916000,-189.3263
44369,918000,-190.2952
44423,920000,-183.4453
44485,922000,-183.9187
44525,924000,-184.3373
44569,926000,-181.1751
44622,928000,-181.6617
44671,930000,-181.9867
44729,932000,-187.7262
44775,934000,-193.2558
44832,936000,-194.8167
44896,938000,-182.6543
44948,940000,-182.9014
45009,942000,-191.4263
45061,944000,-188.9383
45113,946000,-189.8021
45171,948000,-186.7637
45226,950000,-191.0305
45278,952000,-193.7691
45330,954000,-181.9439
45387,956000,-192.8824
45455,958000,-194.4008
45515,960000,-189.8539
45572,962000,-191.7364
45621,964000,-189.3706
45677,966000,-182.986
45723,968000,-194.3391
45775,970000,-188.7623
45817,972000,-177.6298
45875,974000,-185.8539
45931,976000,-188.4385
45976,978000,-183.54
46026,980000,-182.6465
46085,982000,-182.9768
46147,984000,-188.1652
46202,986000,-180.1978
46254,988000,-187.1496
46299,990000,-192.4674
46361,992000,-188.7822
46397,994000,-179.3224
46457,996000,-190.5039
46499,998000,-187.5346
46559,1000000,-197.49
46584,1002000,-173.5304
46604,1004000,-171.8427
46637,1006000,-185.7279
46679,1008000,-185.503
46711,1010000,-183.2836
46741,1012000,-179.5459
46777,1014000,-182.5543
46811,1016000,-180.7895
46833,1018000,-187.1552
46864,1020000,-181.9692
46893,1022000,-183.6097
46922,1024000,-182.2215
46953,1026000,-184.9467
46976,1028000,-184.3092
47013,1030000,-180.904
47042,1032000,-194.4829
47061,1034000,-180.627
47094,1036000,-179.4008
47124,1038000,-192.6282
47160,1040000,-186.9387
47193,1042000,-182.6998
47227,1044000,-186.602
47256,1046000,-183.7614
47282,1048000,-175.7708
47307,1050000,-188.5865
47337,1052000,-176.1162
47359,1054000,-174.3297
47376,1056000,-183.9264
47400,1058000,-182.0925
47441,1060000,-181.1762
47471,1062000,-183.1555
47500,1064000,-190.6413
47531,1066000,-191.7577
47560,1068000,-184.4723
47589,1070000,-188.1945
47619,1072000,-184.9656
47661,1074000,-192.9262
47692,1076000,-181.335
47719,1078000,-181.3591
47751,1080000,-187.9267
47781,1082000,-178.6383
47831,1084000,-182.6335
47866,1086000,-188.2935
47896,1088000,-176.3428
47922,1090000,-178.1223
47944,1092000,-180.1151
47980,1094000,-177.4095
48007,1096000,-182.9834
48046,1098000,-182.9974
48074,1100000,-182.9755
48107,1102000,-188.889
48136,1104000,-177.5856
48172,1106000,-177.777
48204,1108000,-176.1338
48231,1110000,-184.3668
48259,1112000,-187.7189
48291,1114000,-185.7519
48330,1116000,-184.7169
48365,1118000,-182.5918
48394,1120000,-185.4064
48426,1122000,-177.1728
48453,1124000,-187.7823
48487,1126000,-178.9555
48523,1128000,-192.7885
48542,1130000,-178.4007
48568,1132000,-182.5979
48597,1134000,-180.4508
48624,1136000,-183.2167
48665,1138000,-175.2769
48691,1140000,-176.7952
48718,1142000,-195.6931
48748,1144000,-180.6237
48777,1146000,-177.7199
48812,1148000,-193.2369
48850,1150000,-184.9071
48877,1152000,-179.857
48911,1154000,-180.462
48941,1156000,-184.0121
48972,1158000,-180.4524
49014,1160000,-185.1552
49039,1162000,-182.6956
49063,1164000,-184.7115
49098,1166000,-180.8453
49124,1168000,-177.9546
49150,1170000,-173.5288
49178,1172000,-190.0698
49213,1174000,-193.1435
49252,1176000,-183.3916
49284,1178000,-178.4571
49311,1180000,-182.2216
49332,1182000,-172.4152
49356,1184000,-182.5848
49382,1186000,-179.9433
49410,1188000,-178.3293
49439,1190000,-180.0455
49453,1192000,-179.7886
49487,1194000,-187.2855
49518,1196000,-178.8579
49544,1198000,-186.7056
49565,1200000,-168.3701
49594,1202000,-175.7374
49623,1204000,-177.4634
49655,1206000,-181.2748
49677,1208000,-182.1563
49713,1210000,-183.4429
49746,1212000,-197.2741
49774,1214000,-177.3025
49810,1216000,-178.8204
49836,1218000,-182.394
49856,1220000,-172.5891
49899,1222000,-185.308
49924,1224000,-186.8262
49959,1226000,-185.4259
49981,1228000,-175.2531
50015,1230000,-182.7317
50040,1232000,-186.2138
50073,1234000,-181.2423
50104,1236000,-178.5383
50130,1238000,-187.0778
50149,1240000,-184.5991
50169,1242000,-176.6547
50202,1244000,-192.5568
50228,1246000,-186.3168
50258,1248000,-188.659
50289,1250000,-177.7575
50314,1252000,-178.8651
50328,1254000,-175.8037
50338,1256000,-172.017
50356,1258000,-175.3375
50368,1260000,-161.8495
50398,1262000,-172.682
50409,1264000,-181.1706
50431,1266000,-173.0475
50449,1268000,-189.9038
50456,1270000,-127.5995
50468,1272000,-171.0576
50489,1274000,-175.2175
50504,1276000,-174.4924
50522,1278000,-171.6699
50530,1280000,-179.7522
50544,1282000,-185.9114
50556,1284000,-178.5558
50574,1286000,-174.4964
50588,1288000,-174.4704
50601,1290000,-171.2047
50621,1292000,-179.1617
50641,1294000,-180.7498
50654,1296000,-181.7227
50667,1298000,-178.893
50679,1300000,-167.8415
50691,1302000,-171.6061
50709,1304000,-162.4643
50729,1306000,-181.5771
50746,1308000,-181.1768
50756,1310000,-174.9392
50776,1312000,-169.6694
50785,1314000,-180.605
50796,1316000,-169.7597
50809,1318000,-174.5404
50827,1320000,-170.6198
50847,1322000,-176.8469
50861,1324000,-186.419
50878,1326000,-173.0844
50888,1328000,-176.8608
50902,1330000,-192.5377
50913,1332000,-173.9267
50926,1334000,-188.8408
50947,1336000,-175.9894
50960,1338000,-173.8399
50977,1340000,-186.3994
50993,1342000,-168.7718
51009,1344000,-174.7366
51029,1346000,-180.7575
51035,1348000,-139.6339
51047,1350000,-175.4936
51062,1352000,-176.2577
51078,1354000,-173.7507
51089,1356000,-170.8638
51105,1358000,-176.7679
51120,1360000,-185.5322
51141,1362000,-170.2212
51151,1364000,-176.6085
51169,1366000,-174.6741
51186,1368000,-185.7148
51193,1370000,-130.224
51211,1372000,-155.0601
51224,1374000,-186.4026
51238,1376000,-179.0916
51249,1378000,-178.4919
51259,1380000,-179.9128
51281,1382000,-178.3472
51294,1384000,-171.5264
51305,1386000,-179.5166
51321,1388000,-181.9827
51328,1390000,-164.1899
51345,1392000,-175.255
51360,1394000,-173.0453
51378,1396000,-174.1574
51395,1398000,-169.4028
51409,1400000,-184.4733
51421,1402000,-162.0915
51430,1404000,-196.6717
51452,1406000,-183.6185
51474,1408000,-170.8507
51493,1410000,-167.0247
51504,1412000,-141.7556
51518,1414000,-173.6031
51540,1416000,-191.7029
51565,1418000,-176.9469
51585,1420000,-186.522
51603,1422000,-171.8931
51620,1424000,-167.204
51645,1426000,-180.9427
51663,1428000,-176.4516
51673,1430000,-168.9659
51690,1432000,-176.0085
51702,1434000,-180.3048
51720,1436000,-179.3815
51738,1438000,-167.4965
51747,1440000,-138.2223
51758,1442000,-189.6997
51774,1444000,-166.0711
51788,1446000,-178.5689
51801,1448000,-178.5945
51817,1450000,-170.7442
51834,1452000,-175.605
51843,1454000,-145.9594
51856,1456000,-155.7541
51874,1458000,-192.2269
51890,1460000,-170.9092
51908,1462000,-185.9454
51923,1464000,-190.7977
51930,1466000,-182.6083
51944,1468000,-151.0032
51958,1470000,-188.9737
51964,1472000,-116.9893
51981,1474000,-185.3532
52003,1476000,-176.718
52017,1478000,-183.7167
52032,1480000,-180.8348
52050,1482000,-178.7692
52067,1484000,-173.147
52087,1486000,-175.1327
52108,1488000,-181.4406
52116,1490000,-183.9117
52134,1492000,-182.8488
52155,1494000,-179.8612
52170,1496000,-166.6308
